         1870596 function calls (1843851 primitive calls) in 34.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.006    0.001 axis.py:1346(_get_ticklabel_bboxes)
        6    0.000    0.000    0.006    0.001 axis.py:1350(<listcomp>)
      100    0.000    0.000    0.006    0.000 pyplot.py:198(_add_pyplot_note)
     3805    0.003    0.000    0.006    0.000 transforms.py:1899(__init__)
       31    0.000    0.000    0.006    0.000 backend_agg.py:207(get_text_width_height_descent)
        2    0.000    0.000    0.006    0.003 axis.py:2635(_update_label_position)
     3445    0.001    0.000    0.006    0.000 artist.py:281(convert_yunits)
        1    0.000    0.000    0.006    0.006 overrides.py:1(<module>)
       32    0.000    0.000    0.006    0.000 text.py:737(draw)
     4144    0.003    0.000    0.006    0.000 artist.py:1555(aliased_name)
     2319    0.003    0.000    0.006    0.000 transforms.py:759(__init__)
       11    0.000    0.000    0.006    0.001 axis.py:272(draw)
      188    0.000    0.000    0.006    0.000 utils.py:386(disp_trim)
24240/24199    0.004    0.000    0.006    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.006    0.006 axis3d.py:1(<module>)
3661/3242    0.002    0.000    0.006    0.000 {built-in method __new__ of type object at 0x7ffff7f49340}
        3    0.000    0.000    0.006    0.002 axis.py:2179(_get_tick_boxes_siblings)
      396    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.006    0.006 textpath.py:1(<module>)
      255    0.001    0.000    0.006    0.000 _base.py:2521(update_datalim)
     3777    0.005    0.000    0.006    0.000 transforms.py:182(set_children)
     8441    0.004    0.000    0.006    0.000 enum.py:688(__call__)
1315/1314    0.002    0.000    0.005    0.000 transforms.py:1787(__eq__)
        7    0.000    0.000    0.005    0.001 axis.py:454(__init__)
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
       16    0.000    0.000    0.005    0.000 ImageTk.py:99(__init__)
        1    0.000    0.000    0.005    0.005 category.py:1(<module>)
       38    0.001    0.000    0.005    0.000 enum.py:499(__new__)
        1    0.000    0.000    0.005    0.005 helpers.py:1(<module>)
     1425    0.001    0.000    0.005    0.000 fromnumeric.py:200(reshape)
       16    0.000    0.000    0.005    0.000 text.py:73(_get_text_metrics_with_cache_impl)
      926    0.004    0.000    0.005    0.000 inspect.py:2955(__init__)
     1513    0.001    0.000    0.005    0.000 fromnumeric.py:53(_wrapfunc)
     1598    0.002    0.000    0.005    0.000 contextlib.py:299(helper)
    86138    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
      6/4    0.000    0.000    0.005    0.001 axis.py:560(__get__)
     7353    0.002    0.000    0.005    0.000 __init__.py:745(__getitem__)
        1    0.000    0.000    0.005    0.005 cm.py:1(<module>)
        1    0.000    0.000    0.005    0.005 common.py:8(pyparsing_common)
        1    0.000    0.000    0.005    0.005 std.py:663(__new__)
     1124    0.001    0.000    0.005    0.000 copy.py:66(copy)
        1    0.000    0.000    0.005    0.005 subprocess.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ExifTags.py:1(<module>)
       46    0.005    0.000    0.005    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      677    0.004    0.000    0.004    0.000 {built-in method io.open_code}
1598/1582    0.002    0.000    0.004    0.000 contextlib.py:141(__exit__)
     18/9    0.000    0.000    0.004    0.000 offsetbox.py:473(_get_bbox_and_child_offsets)
       18    0.000    0.000    0.004    0.000 rcsetup.py:827(validate_cycler)
        9    0.000    0.000    0.004    0.000 Image.py:3375(open)
       48    0.000    0.000    0.004    0.000 font_manager.py:1238(findfont)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
     7822    0.001    0.000    0.004    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.004    0.004 numeric.py:1(<module>)
       48    0.001    0.000    0.004    0.000 lines.py:287(__init__)
        8    0.000    0.000    0.004    0.001 axis.py:969(set_tick_params)
       46    0.000    0.000    0.004    0.000 backend_agg.py:249(_prepare_font)
      510    0.000    0.000    0.004    0.000 transforms.py:1720(__eq__)
        3    0.000    0.000    0.004    0.001 patches.py:2283(__init_subclass__)
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
        6    0.000    0.000    0.004    0.001 patches.py:2325(pprint_styles)
       48    0.000    0.000    0.004    0.000 __init__.py:1355(_add_data_doc)
       12    0.000    0.000    0.004    0.000 core.py:1135(parse_string)
     6693    0.004    0.000    0.004    0.000 {built-in method numpy.array}
      678    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
     18/9    0.000    0.000    0.004    0.000 offsetbox.py:479(<listcomp>)
      510    0.000    0.000    0.004    0.000 transforms.py:2172(__eq__)
      110    0.000    0.000    0.004    0.000 markers.py:220(__init__)
      191    0.000    0.000    0.004    0.000 artist.py:147(<lambda>)
      255    0.001    0.000    0.004    0.000 typing.py:1376(__init__)
        7    0.000    0.000    0.004    0.001 _backend_tk.py:724(_set_image_for_button)
   102/92    0.000    0.000    0.004    0.000 typing.py:500(__getitem__)
      433    0.001    0.000    0.004    0.000 colors.py:322(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.004    0.004 _backend_tk.py:166(__init__)
      270    0.000    0.000    0.004    0.000 patches.py:394(set_facecolor)
      191    0.000    0.000    0.004    0.000 artist.py:1220(set)
       58    0.002    0.000    0.004    0.000 {built-in method builtins.eval}
     1927    0.001    0.000    0.004    0.000 artist.py:415(pchanged)
        2    0.000    0.000    0.004    0.002 _base.py:3235(grid)
        6    0.000    0.000    0.004    0.001 patches.py:2329(<listcomp>)
        4    0.000    0.000    0.004    0.001 axis.py:1693(grid)
      6/4    0.000    0.000    0.004    0.001 offsetbox.py:441(_get_bbox_and_child_offsets)
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
     8906    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
      271    0.000    0.000    0.004    0.000 patches.py:387(_set_facecolor)
       92    0.000    0.000    0.004    0.000 typing.py:679(Union)
     5631    0.003    0.000    0.004    0.000 transforms.py:1779(__init__)
      255    0.000    0.000    0.004    0.000 transforms.py:931(update_from_data_xy)
     18/6    0.000    0.000    0.004    0.001 offsetbox.py:358(get_bbox)
       13    0.000    0.000    0.004    0.000 rcsetup.py:426(validate_font_properties)
      794    0.002    0.000    0.004    0.000 copy.py:259(_reconstruct)
       10    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
      110    0.000    0.000    0.004    0.000 markers.py:299(_set_marker)
        2    0.000    0.000    0.004    0.002 utils.py:1(<module>)
      190    0.000    0.000    0.004    0.000 std.py:451(fp_write)
      6/4    0.000    0.000    0.004    0.001 offsetbox.py:452(<listcomp>)
      317    0.001    0.000    0.004    0.000 overrides.py:142(decorator)
       10    0.000    0.000    0.004    0.000 axis.py:1611(_copy_tick_props)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
        2    0.001    0.000    0.004    0.002 font_manager.py:1398(_findfont_cached)
        1    0.000    0.000    0.004    0.004 cm.py:32(_gen_cmap_registry)
     1467    0.002    0.000    0.003    0.000 fromnumeric.py:40(_wrapit)
        1    0.000    0.000    0.003    0.003 std.py:760(get_lock)
        1    0.000    0.000    0.003    0.003 std.py:90(__init__)
     6116    0.002    0.000    0.003    0.000 function_base.py:348(iterable)
        1    0.000    0.000    0.003    0.003 std.py:116(create_mp_lock)
     1225    0.000    0.000    0.003    0.000 transforms.py:1792(transform)
    58768    0.003    0.000    0.003    0.000 {built-in method unicodedata.east_asian_width}
       43    0.000    0.000    0.003    0.000 text.py:104(__init__)
     1530    0.001    0.000    0.003    0.000 path.py:347(iter_segments)
   306/12    0.001    0.000    0.003    0.000 core.py:811(_parseNoCache)
      786    0.001    0.000    0.003    0.000 transforms.py:2594(__init__)
       46    0.000    0.000    0.003    0.000 font_manager.py:1308(_find_fonts_by_props)
     2550    0.003    0.000    0.003    0.000 {method 'outer' of 'numpy.ufunc' objects}
    72/12    0.000    0.000    0.003    0.000 core.py:3994(parseImpl)
       30    0.000    0.000    0.003    0.000 lines.py:1337(update_from)
      419    0.002    0.000    0.003    0.000 enum.py:242(__set_name__)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
      847    0.001    0.000    0.003    0.000 transforms.py:2008(rotate_deg)
       15    0.000    0.000    0.003    0.000 offsetbox.py:762(get_bbox)
        2    0.000    0.000    0.003    0.002 ImageTk.py:52(_get_image_from_kw)
        1    0.000    0.000    0.003    0.003 mathtext.py:1(<module>)
        2    0.000    0.000    0.003    0.002 ElementTree.py:1(<module>)
     1933    0.002    0.000    0.003    0.000 cbook.py:285(process)
    25599    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       10    0.000    0.000    0.003    0.000 core.py:5642(__init__)
      730    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:392(cached)
     1861    0.001    0.000    0.003    0.000 transforms.py:2609(get_matrix)
       40    0.001    0.000    0.003    0.000 __init__.py:350(namedtuple)
      382    0.000    0.000    0.003    0.000 utils.py:194(inner)
       15    0.000    0.000    0.003    0.000 backend_agg.py:186(draw_text)
